site,depth,lateral,time,test,location,values,num_test
1,1,0.5,322,NH4,M,NA,TRUE
1,1,0.5,322,NH4,Lined,NA,TRUE
1,1,0.5,322,NH4,Unlined,NA,TRUE
1,1,0.5,322,NO3,P2.A,13.8,TRUE
1,1,0.5,322,NO3,P2.B,13.7,TRUE
1,1,0.5,322,NO3,P2.C,6,TRUE
1,1,0.5,322,NO3,P1.D,17.4,TRUE
1,1,0.5,322,NO3,P1.E,18.6,TRUE
1,1,0.5,322,NO3,P1.F,15.4,TRUE
1,1,0.5,322,NO3,M,18.6,TRUE
1,1,0.5,322,NO3,Lined,13.03,TRUE
1,1,0.5,322,NO3,Unlined,17.5,TRUE
1,1,0.5,322,EC,P2.A,183,TRUE
1,1,0.5,322,EC,P2.B,212,TRUE
1,1,0.5,322,EC,P2.C,207,TRUE
1,1,0.5,322,EC,P1.D,616,TRUE
1,1,0.5,322,EC,P1.E,329,TRUE
1,1,0.5,322,EC,P1.F,219,TRUE
1,1,0.5,322,EC,M,217,TRUE
1,1,0.5,322,EC,Lined,204.75,TRUE
1,1,0.5,322,EC,Unlined,345.25,TRUE
1,1,0.5,322,P,P2.A,NA,TRUE
1,1,0.5,322,P,P2.B,NA,TRUE
1,1,0.5,322,P,P2.C,NA,TRUE
1,1,0.5,322,P,P1.D,NA,TRUE
1,1,0.5,322,P,P1.E,NA,TRUE
1,1,0.5,322,P,P1.F,NA,TRUE
1,1,0.5,322,P,M,NA,TRUE
1,1,0.5,322,P,Lined,NA,TRUE
1,1,0.5,322,P,Unlined,NA,TRUE
1,1,0.5,322,TC,P2.A,5000000,TRUE
1,1,0.5,322,TC,P2.B,6600000,TRUE
1,1,0.5,322,TC,P2.C,4900000,TRUE
1,1,0.5,322,TC,P1.D,7600000,TRUE
1,1,0.5,322,TC,P1.E,4600000,TRUE
1,1,0.5,322,TC,P1.F,8700000,TRUE
1,1,0.5,322,TC,M,14500000,TRUE
1,1,0.5,322,TC,Lined,7750000,TRUE
1,1,0.5,322,TC,Unlined,8850000,TRUE
1,1.5,0.5,322,pH,P2.A,9.64,TRUE
1,1.5,0.5,322,pH,P2.B,9.7,TRUE
1,1.5,0.5,322,pH,P2.C,9.48,TRUE
1,1.5,0.5,322,pH,P1.D,9.6,TRUE
1,1.5,0.5,322,pH,P1.E,9.01,TRUE
1,1.5,0.5,322,pH,P1.F,9.33,TRUE
1,1.5,0.5,322,pH,M,9.41,TRUE
1,1.5,0.5,322,pH,Lined,9.56,TRUE
1,1.5,0.5,322,pH,Unlined,9.34,TRUE
1,1.5,0.5,322,NH4,P2.A,NA,TRUE
1,1.5,0.5,322,NH4,P2.B,NA,TRUE
1,1.5,0.5,322,NH4,P2.C,NA,TRUE
1,1.5,0.5,322,NH4,P1.D,NA,TRUE
1,1.5,0.5,322,NH4,P1.E,NA,TRUE
1,1.5,0.5,322,NH4,P1.F,NA,TRUE
1,1.5,0.5,322,NH4,M,NA,TRUE
1,1.5,0.5,322,NH4,Lined,NA,TRUE
1,1.5,0.5,322,NH4,Unlined,NA,TRUE
1,1.5,0.5,322,NO3,P2.A,9.7,TRUE
1,1.5,0.5,322,NO3,P2.B,9.4,TRUE
1,1.5,0.5,322,NO3,P2.C,6.9,TRUE
1,1.5,0.5,322,NO3,P1.D,18.8,TRUE
1,1.5,0.5,322,NO3,P1.E,14.4,TRUE
1,1.5,0.5,322,NO3,P1.F,19.1,TRUE
1,1.5,0.5,322,NO3,M,21.8,TRUE
1,1.5,0.5,322,NO3,Lined,11.95,TRUE
1,1.5,0.5,322,NO3,Unlined,18.53,TRUE
1,1.5,0.5,322,EC,P2.A,140,TRUE
1,1.5,0.5,322,EC,P2.B,136,TRUE
1,1.5,0.5,322,EC,P2.C,179,TRUE
1,1.5,0.5,322,EC,P1.D,420,TRUE
1,1.5,0.5,322,EC,P1.E,187,TRUE
1,1.5,0.5,322,EC,P1.F,296,TRUE
1,1.5,0.5,322,EC,M,203,TRUE
1,1.5,0.5,322,EC,Lined,164.5,TRUE
1,1.5,0.5,322,EC,Unlined,276.5,TRUE
1,1.5,0.5,322,P,P2.A,NA,TRUE
1,1.5,0.5,322,P,P2.B,NA,TRUE
1,1.5,0.5,322,P,P2.C,NA,TRUE
1,1.5,0.5,322,P,P1.D,NA,TRUE
1,1.5,0.5,322,P,P1.E,NA,TRUE
1,1.5,0.5,322,P,P1.F,NA,TRUE
1,1.5,0.5,322,P,M,NA,TRUE
1,1.5,0.5,322,P,Lined,NA,TRUE
1,1.5,0.5,322,P,Unlined,NA,TRUE
1,1.5,0.5,322,TC,P2.A,8700000,TRUE
1,1.5,0.5,322,TC,P2.B,5400000,TRUE
1,1.5,0.5,322,TC,P2.C,5200000,TRUE
1,1.5,0.5,322,TC,P1.D,3900000,TRUE
1,1.5,0.5,322,TC,P1.E,8300000,TRUE
1,1.5,0.5,322,TC,P1.F,29000000,TRUE
1,1.5,0.5,322,TC,M,24000000,TRUE
1,1.5,0.5,322,TC,Lined,10825000,TRUE
1,1.5,0.5,322,TC,Unlined,16300000,TRUE
1,1.5,1,322,pH,P2.A,9.2,TRUE
1,1.5,1,322,pH,P2.B,9.66,TRUE
1,1.5,1,322,pH,P2.C,9.59,TRUE
1,1.5,1,322,pH,P1.D,8.39,TRUE
1,1.5,1,322,pH,P1.E,9.35,TRUE
1,1.5,1,322,pH,P1.F,9.57,TRUE
1,1.5,1,322,pH,M,NA,TRUE
1,1.5,1,322,pH,Lined,9.48,TRUE
1,1.5,1,322,pH,Unlined,9.1,TRUE
1,1.5,1,322,NH4,P2.A,NA,TRUE
1,1.5,1,322,NH4,P2.B,NA,TRUE
1,1.5,1,322,NH4,P2.C,NA,TRUE
1,1.5,1,322,NH4,P1.D,NA,TRUE
1,1.5,1,322,NH4,P1.E,NA,TRUE
1,1.5,1,322,NH4,P1.F,NA,TRUE
1,1.5,1,322,NH4,M,NA,TRUE
1,1.5,1,322,NH4,Lined,NA,TRUE
1,1.5,1,322,NH4,Unlined,NA,TRUE
1,1.5,1,322,NO3,P2.A,11.1,TRUE
1,1.5,1,322,NO3,P2.B,12.6,TRUE
1,1.5,1,322,NO3,P2.C,11.6,TRUE
1,1.5,1,322,NO3,P1.D,11.8,TRUE
1,1.5,1,322,NO3,P1.E,17.5,TRUE
1,1.5,1,322,NO3,P1.F,19.2,TRUE
1,1.5,1,322,NO3,M,NA,TRUE
1,1.5,1,322,NO3,Lined,11.77,TRUE
1,1.5,1,322,NO3,Unlined,16.17,TRUE
1,1.5,1,322,EC,P2.A,191,TRUE
1,1.5,1,322,EC,P2.B,170,TRUE
1,1.5,1,322,EC,P2.C,198,TRUE
1,1.5,1,322,EC,P1.D,299,TRUE
1,1.5,1,322,EC,P1.E,442,TRUE
1,1.5,1,322,EC,P1.F,301,TRUE
1,1.5,1,322,EC,M,NA,TRUE
1,1.5,1,322,EC,Lined,186.33,TRUE
1,1.5,1,322,EC,Unlined,347.33,TRUE
1,1.5,1,322,P,P2.A,NA,TRUE
1,1.5,1,322,P,P2.B,NA,TRUE
1,1.5,1,322,P,P2.C,NA,TRUE
1,1.5,1,322,P,P1.D,NA,TRUE
1,1.5,1,322,P,P1.E,NA,TRUE
1,1.5,1,322,P,P1.F,NA,TRUE
1,1.5,1,322,P,M,NA,TRUE
1,1.5,1,322,P,Lined,NA,TRUE
1,1.5,1,322,P,Unlined,NA,TRUE
1,1.5,1,322,TC,P2.A,5900000,TRUE
1,1.5,1,322,TC,P2.B,7500000,TRUE
1,1.5,1,322,TC,P2.C,3900000,TRUE
1,1.5,1,322,TC,P1.D,4800000,TRUE
1,1.5,1,322,TC,P1.E,3300000,TRUE
1,1.5,1,322,TC,P1.F,25500000,TRUE
1,1.5,1,322,TC,M,NA,TRUE
1,1.5,1,322,TC,Lined,5766666.67,TRUE
1,1.5,1,322,TC,Unlined,11200000,TRUE
2,1,1,0,pH,P2.A,8.46,TRUE
2,1,1,0,pH,P2.B,8.46,TRUE
2,1,1,0,pH,P2.C,8.46,TRUE
2,1,1,0,pH,P1.D,8.46,TRUE
2,1,1,0,pH,P1.E,8.46,TRUE
2,1,1,0,pH,P1.F,8.46,TRUE
2,1,1,0,pH,M,NA,TRUE
2,1,1,0,pH,Lined,8.46,TRUE
2,1,1,0,pH,Unlined,8.46,TRUE
2,1,1,0,NH4,P2.A,1.35,TRUE
2,1,1,0,NH4,P2.B,1.35,TRUE
2,1,1,0,NH4,P2.C,1.35,TRUE
2,1,1,0,NH4,P1.D,1.35,TRUE
2,1,1,0,NH4,P1.E,1.35,TRUE
2,1,1,0,NH4,P1.F,1.35,TRUE
2,1,1,0,NH4,M,NA,TRUE
2,1,1,0,NH4,Lined,1.35,TRUE
2,1,1,0,NH4,Unlined,1.35,TRUE
2,1,1,0,NO3,P2.A,2.36,TRUE
2,1,1,0,NO3,P2.B,2.36,TRUE
2,1,1,0,NO3,P2.C,2.36,TRUE
2,1,1,0,NO3,P1.D,2.36,TRUE
2,1,1,0,NO3,P1.E,2.36,TRUE
2,1,1,0,NO3,P1.F,2.36,TRUE
2,1,1,0,NO3,M,NA,TRUE
2,1,1,0,NO3,Lined,2.36,TRUE
2,1,1,0,NO3,Unlined,2.36,TRUE
2,1,1,0,EC,P2.A,314,TRUE
2,1,1,0,EC,P2.B,314,TRUE
2,1,1,0,EC,P2.C,314,TRUE
2,1,1,0,EC,P1.D,314,TRUE
2,1,1,0,EC,P1.E,314,TRUE
2,1,1,0,EC,P1.F,314,TRUE
2,1,1,0,EC,M,NA,TRUE
2,1,1,0,EC,Lined,314,TRUE
2,1,1,0,EC,Unlined,314,TRUE
2,1,1,0,P,P2.A,0.64,TRUE
2,1,1,0,P,P2.B,0.64,TRUE
2,1,1,0,P,P2.C,0.64,TRUE
2,1,1,0,P,P1.D,0.64,TRUE
2,1,1,0,P,P1.E,0.64,TRUE
2,1,1,0,P,P1.F,0.64,TRUE
2,1,1,0,P,M,NA,TRUE
2,1,1,0,P,Lined,0.64,TRUE
2,1,1,0,P,Unlined,0.64,TRUE
2,1,1,0,TC,P2.A,0,TRUE
2,1,1,0,TC,P2.B,0,TRUE
2,1,1,0,TC,P2.C,0,TRUE
2,1,1,0,TC,P1.D,0,TRUE
2,1,1,0,TC,P1.E,0,TRUE
2,1,1,0,TC,P1.F,0,TRUE
2,1,1,0,TC,M,NA,TRUE
2,1,1,0,TC,Lined,0,TRUE
2,1,1,0,TC,Unlined,0,TRUE
2,1,5,0,pH,P2.A,8.2,TRUE
2,1,5,0,pH,P2.B,8.2,TRUE
2,1,5,0,pH,P2.C,8.2,TRUE
2,1,5,0,pH,P1.D,8.2,TRUE
2,1,5,0,pH,P1.E,8.2,TRUE
2,1,5,0,pH,P1.F,8.2,TRUE
2,1,5,0,pH,M,NA,TRUE
2,1,5,0,pH,Lined,8.2,TRUE
2,1,5,0,pH,Unlined,8.2,TRUE
2,1,5,0,NH4,P2.A,0.86,TRUE
2,1,5,0,NH4,P2.B,0.86,TRUE
2,1,5,0,NH4,P2.C,0.86,TRUE
2,1,5,0,NH4,P1.D,0.86,TRUE
2,1,5,0,NH4,P1.E,0.86,TRUE
2,1,5,0,NH4,P1.F,0.86,TRUE
2,1,5,0,NH4,M,NA,TRUE
2,1,5,0,NH4,Lined,0.86,TRUE
2,1,5,0,NH4,Unlined,0.86,TRUE
2,1,5,0,NO3,P2.A,4.06,TRUE
2,1,5,0,NO3,P2.B,4.06,TRUE
2,1,5,0,NO3,P2.C,4.06,TRUE
2,1,5,0,NO3,P1.D,4.06,TRUE
2,1,5,0,NO3,P1.E,4.06,TRUE
2,1,5,0,NO3,P1.F,4.06,TRUE
2,1,5,0,NO3,M,NA,TRUE
2,1,5,0,NO3,Lined,4.06,TRUE
2,1,5,0,NO3,Unlined,4.06,TRUE
2,1,5,0,EC,P2.A,224,TRUE
2,1,5,0,EC,P2.B,224,TRUE
2,1,5,0,EC,P2.C,224,TRUE
2,1,5,0,EC,P1.D,224,TRUE
2,1,5,0,EC,P1.E,224,TRUE
2,1,5,0,EC,P1.F,224,TRUE
2,1,5,0,EC,M,NA,TRUE
2,1,5,0,EC,Lined,224,TRUE
2,1,5,0,EC,Unlined,224,TRUE
2,1,5,0,P,P2.A,0.3,TRUE
2,1,5,0,P,P2.B,0.3,TRUE
2,1,5,0,P,P2.C,0.3,TRUE
2,1,5,0,P,P1.D,0.3,TRUE
2,1,5,0,P,P1.E,0.3,TRUE
2,1,5,0,P,P1.F,0.3,TRUE
2,1,5,0,P,M,NA,TRUE
2,1,5,0,P,Lined,0.3,TRUE
2,1,5,0,P,Unlined,0.3,TRUE
2,1,5,0,TC,P2.A,0,TRUE
2,1,5,0,TC,P2.B,0,TRUE
2,1,5,0,TC,P2.C,0,TRUE
2,1,5,0,TC,P1.D,0,TRUE
2,1,5,0,TC,P1.E,0,TRUE
2,1,5,0,TC,P1.F,0,TRUE
2,1,5,0,TC,M,NA,TRUE
2,1,5,0,TC,Lined,0,TRUE
2,1,5,0,TC,Unlined,0,TRUE
2,1,10,0,pH,P2.A,8.17,TRUE
2,1,10,0,pH,P2.B,8.17,TRUE
2,1,10,0,pH,P2.C,8.17,TRUE
2,1,10,0,pH,P1.D,8.17,TRUE
2,1,10,0,pH,P1.E,8.17,TRUE
2,1,10,0,pH,P1.F,8.17,TRUE
2,1,10,0,pH,M,NA,TRUE
2,1,10,0,pH,Lined,8.17,TRUE
2,1,10,0,pH,Unlined,8.17,TRUE
2,1,10,0,NH4,P2.A,1.16,TRUE
2,1,10,0,NH4,P2.B,1.16,TRUE
2,1,10,0,NH4,P2.C,1.16,TRUE
2,1,10,0,NH4,P1.D,1.16,TRUE
2,1,10,0,NH4,P1.E,1.16,TRUE
2,1,10,0,NH4,P1.F,1.16,TRUE
2,1,10,0,NH4,M,NA,TRUE
2,1,10,0,NH4,Lined,1.16,TRUE
2,1,10,0,NH4,Unlined,1.16,TRUE
2,1,10,0,NO3,P2.A,6.3,TRUE
2,1,10,0,NO3,P2.B,6.3,TRUE
2,1,10,0,NO3,P2.C,6.3,TRUE
2,1,10,0,NO3,P1.D,6.3,TRUE
2,1,10,0,NO3,P1.E,6.3,TRUE
2,1,10,0,NO3,P1.F,6.3,TRUE
2,1,10,0,NO3,M,NA,TRUE
2,1,10,0,NO3,Lined,6.3,TRUE
2,1,10,0,NO3,Unlined,6.3,TRUE
2,1,10,0,EC,P2.A,233,TRUE
2,1,10,0,EC,P2.B,233,TRUE
2,1,10,0,EC,P2.C,233,TRUE
2,1,10,0,EC,P1.D,233,TRUE
2,1,10,0,EC,P1.E,233,TRUE
2,1,10,0,EC,P1.F,233,TRUE
2,1,10,0,EC,M,NA,TRUE
2,1,10,0,EC,Lined,233,TRUE
2,1,10,0,EC,Unlined,233,TRUE
2,1,10,0,P,P2.A,0.34,TRUE
2,1,10,0,P,P2.B,0.34,TRUE
2,1,10,0,P,P2.C,0.34,TRUE
2,1,10,0,P,P1.D,0.34,TRUE
2,1,10,0,P,P1.E,0.34,TRUE
2,1,10,0,P,P1.F,0.34,TRUE
2,1,10,0,P,M,NA,TRUE
2,1,10,0,P,Lined,0.34,TRUE
2,1,10,0,P,Unlined,0.34,TRUE
2,1,10,0,TC,P2.A,22,TRUE
2,1,10,0,TC,P2.B,22,TRUE
2,1,10,0,TC,P2.C,22,TRUE
2,1,10,0,TC,P1.D,22,TRUE
2,1,10,0,TC,P1.E,22,TRUE
2,1,10,0,TC,P1.F,22,TRUE
2,1,10,0,TC,M,NA,TRUE
2,1,10,0,TC,Lined,22,TRUE
2,1,10,0,TC,Unlined,22,TRUE
2,1.5,1,0,pH,P2.A,8.08,TRUE
2,1.5,1,0,pH,P2.B,8.08,TRUE
2,1.5,1,0,pH,P2.C,8.08,TRUE
2,1.5,1,0,pH,P1.D,8.08,TRUE
2,1.5,1,0,pH,P1.E,8.08,TRUE
2,1.5,1,0,pH,P1.F,8.08,TRUE
2,1.5,1,0,pH,M,NA,TRUE
2,1.5,1,0,pH,Lined,8.08,TRUE
2,1.5,1,0,pH,Unlined,8.08,TRUE
2,1.5,1,0,NH4,P2.A,1.51,TRUE
2,1.5,1,0,NH4,P2.B,1.51,TRUE
2,1.5,1,0,NH4,P2.C,1.51,TRUE
2,1.5,1,0,NH4,P1.D,1.51,TRUE
2,1.5,1,0,NH4,P1.E,1.51,TRUE
2,1.5,1,0,NH4,P1.F,1.51,TRUE
2,1.5,1,0,NH4,M,NA,TRUE
2,1.5,1,0,NH4,Lined,1.51,TRUE
2,1.5,1,0,NH4,Unlined,1.51,TRUE
2,1.5,1,0,NO3,P2.A,2.14,TRUE
2,1.5,1,0,NO3,P2.B,2.14,TRUE
2,1.5,1,0,NO3,P2.C,2.14,TRUE
2,1.5,1,0,NO3,P1.D,2.14,TRUE
2,1.5,1,0,NO3,P1.E,2.14,TRUE
2,1.5,1,0,NO3,P1.F,2.14,TRUE
2,1.5,1,0,NO3,M,NA,TRUE
2,1.5,1,0,NO3,Lined,2.14,TRUE
2,1.5,1,0,NO3,Unlined,2.14,TRUE
2,1.5,1,0,EC,P2.A,397,TRUE
2,1.5,1,0,EC,P2.B,397,TRUE
2,1.5,1,0,EC,P2.C,397,TRUE
2,1.5,1,0,EC,P1.D,397,TRUE
2,1.5,1,0,EC,P1.E,397,TRUE
2,1.5,1,0,EC,P1.F,397,TRUE
2,1.5,1,0,EC,M,NA,TRUE
2,1.5,1,0,EC,Lined,397,TRUE
2,1.5,1,0,EC,Unlined,397,TRUE
2,1.5,1,0,P,P2.A,0.4,TRUE
2,1.5,1,0,P,P2.B,0.4,TRUE
2,1.5,1,0,P,P2.C,0.4,TRUE
2,1.5,1,0,P,P1.D,0.4,TRUE
2,1.5,1,0,P,P1.E,0.4,TRUE
2,1.5,1,0,P,P1.F,0.4,TRUE
2,1.5,1,0,P,M,NA,TRUE
2,1.5,1,0,P,Lined,0.4,TRUE
2,1.5,1,0,P,Unlined,0.4,TRUE
2,1.5,1,0,TC,P2.A,0,TRUE
2,1.5,1,0,TC,P2.B,0,TRUE
2,1.5,1,0,TC,P2.C,0,TRUE
2,1.5,1,0,TC,P1.D,0,TRUE
2,1.5,1,0,TC,P1.E,0,TRUE
2,1.5,1,0,TC,P1.F,0,TRUE
2,1.5,1,0,TC,M,NA,TRUE
2,1.5,1,0,TC,Lined,0,TRUE
2,1.5,1,0,TC,Unlined,0,TRUE
2,1.5,5,0,pH,P2.A,8.16,TRUE
2,1.5,5,0,pH,P2.B,8.16,TRUE
2,1.5,5,0,pH,P2.C,8.16,TRUE
2,1.5,5,0,pH,P1.D,8.16,TRUE
2,1.5,5,0,pH,P1.E,8.16,TRUE
2,1.5,5,0,pH,P1.F,8.16,TRUE
2,1.5,5,0,pH,M,NA,TRUE
2,1.5,5,0,pH,Lined,8.16,TRUE
2,1.5,5,0,pH,Unlined,8.16,TRUE
2,1.5,5,0,NH4,P2.A,0.82,TRUE
2,1.5,5,0,NH4,P2.B,0.82,TRUE
2,1.5,5,0,NH4,P2.C,0.82,TRUE
2,1.5,5,0,NH4,P1.D,0.82,TRUE
2,1.5,5,0,NH4,P1.E,0.82,TRUE
2,1.5,5,0,NH4,P1.F,0.82,TRUE
2,1.5,5,0,NH4,M,NA,TRUE
2,1.5,5,0,NH4,Lined,0.82,TRUE
2,1.5,5,0,NH4,Unlined,0.82,TRUE
2,1.5,5,0,NO3,P2.A,5.4,TRUE
2,1.5,5,0,NO3,P2.B,5.4,TRUE
2,1.5,5,0,NO3,P2.C,5.4,TRUE
2,1.5,5,0,NO3,P1.D,5.4,TRUE
2,1.5,5,0,NO3,P1.E,5.4,TRUE
2,1.5,5,0,NO3,P1.F,5.4,TRUE
2,1.5,5,0,NO3,M,NA,TRUE
2,1.5,5,0,NO3,Lined,5.4,TRUE
2,1.5,5,0,NO3,Unlined,5.4,TRUE
2,1.5,5,0,EC,P2.A,328,TRUE
2,1.5,5,0,EC,P2.B,328,TRUE
2,1.5,5,0,EC,P2.C,328,TRUE
2,1.5,5,0,EC,P1.D,328,TRUE
2,1.5,5,0,EC,P1.E,328,TRUE
2,1.5,5,0,EC,P1.F,328,TRUE
2,1.5,5,0,EC,M,NA,TRUE
2,1.5,5,0,EC,Lined,328,TRUE
2,1.5,5,0,EC,Unlined,328,TRUE
2,1.5,5,0,P,P2.A,0.18,TRUE
2,1.5,5,0,P,P2.B,0.18,TRUE
2,1.5,5,0,P,P2.C,0.18,TRUE
2,1.5,5,0,P,P1.D,0.18,TRUE
2,1.5,5,0,P,P1.E,0.18,TRUE
2,1.5,5,0,P,P1.F,0.18,TRUE
2,1.5,5,0,P,M,NA,TRUE
2,1.5,5,0,P,Lined,0.18,TRUE
2,1.5,5,0,P,Unlined,0.18,TRUE
2,1.5,5,0,TC,P2.A,0,TRUE
2,1.5,5,0,TC,P2.B,0,TRUE
2,1.5,5,0,TC,P2.C,0,TRUE
2,1.5,5,0,TC,P1.D,0,TRUE
2,1.5,5,0,TC,P1.E,0,TRUE
2,1.5,5,0,TC,P1.F,0,TRUE
2,1.5,5,0,TC,M,NA,TRUE
2,1.5,5,0,TC,Lined,0,TRUE
2,1.5,5,0,TC,Unlined,0,TRUE
2,1.5,10,0,pH,P2.A,8.24,TRUE
2,1.5,10,0,pH,P2.B,8.24,TRUE
2,1.5,10,0,pH,P2.C,8.24,TRUE
2,1.5,10,0,pH,P1.D,8.24,TRUE
2,1.5,10,0,pH,P1.E,8.24,TRUE
2,1.5,10,0,pH,P1.F,8.24,TRUE
2,1.5,10,0,pH,M,NA,TRUE
2,1.5,10,0,pH,Lined,8.24,TRUE
2,1.5,10,0,pH,Unlined,8.24,TRUE
2,1.5,10,0,NH4,P2.A,0.94,TRUE
2,1.5,10,0,NH4,P2.B,0.94,TRUE
2,1.5,10,0,NH4,P2.C,0.94,TRUE
2,1.5,10,0,NH4,P1.D,0.94,TRUE
2,1.5,10,0,NH4,P1.E,0.94,TRUE
2,1.5,10,0,NH4,P1.F,0.94,TRUE
2,1.5,10,0,NH4,M,NA,TRUE
2,1.5,10,0,NH4,Lined,0.94,TRUE
2,1.5,10,0,NH4,Unlined,0.94,TRUE
2,1.5,10,0,NO3,P2.A,6.2,TRUE
2,1.5,10,0,NO3,P2.B,6.2,TRUE
2,1.5,10,0,NO3,P2.C,6.2,TRUE
2,1.5,10,0,NO3,P1.D,6.2,TRUE
2,1.5,10,0,NO3,P1.E,6.2,TRUE
2,1.5,10,0,NO3,P1.F,6.2,TRUE
2,1.5,10,0,NO3,M,NA,TRUE
2,1.5,10,0,NO3,Lined,6.2,TRUE
2,1.5,10,0,NO3,Unlined,6.2,TRUE
2,1.5,10,0,EC,P2.A,274,TRUE
2,1.5,10,0,EC,P2.B,274,TRUE
2,1.5,10,0,EC,P2.C,274,TRUE
2,1.5,10,0,EC,P1.D,274,TRUE
2,1.5,10,0,EC,P1.E,274,TRUE
2,1.5,10,0,EC,P1.F,274,TRUE
2,1.5,10,0,EC,M,NA,TRUE
2,1.5,10,0,EC,Lined,274,TRUE
2,1.5,10,0,EC,Unlined,274,TRUE
2,1.5,10,0,P,P2.A,0.3,TRUE
2,1.5,10,0,P,P2.B,0.3,TRUE
2,1.5,10,0,P,P2.C,0.3,TRUE
2,1.5,10,0,P,P1.D,0.3,TRUE
2,1.5,10,0,P,P1.E,0.3,TRUE
2,1.5,10,0,P,P1.F,0.3,TRUE
2,1.5,10,0,P,M,NA,TRUE
2,1.5,10,0,P,Lined,0.3,TRUE
2,1.5,10,0,P,Unlined,0.3,TRUE
2,1.5,10,0,TC,P2.A,17,TRUE
2,1.5,10,0,TC,P2.B,17,TRUE
2,1.5,10,0,TC,P2.C,17,TRUE
2,1.5,10,0,TC,P1.D,17,TRUE
2,1.5,10,0,TC,P1.E,17,TRUE
2,1.5,10,0,TC,P1.F,17,TRUE
2,1.5,10,0,TC,M,NA,TRUE
2,1.5,10,0,TC,Lined,17,TRUE
2,1.5,10,0,TC,Unlined,17,TRUE
2,1,1,18,pH,P2.A,8.25,TRUE
2,1,1,18,pH,P2.B,8.25,TRUE
2,1,1,18,pH,P2.C,8.25,TRUE
2,1,1,18,pH,P1.D,NA,TRUE
2,1,1,18,pH,P1.E,NA,TRUE
2,1,1,18,pH,P1.F,NA,TRUE
2,1,1,18,pH,M,NA,TRUE
2,1,1,18,pH,Lined,8.25,TRUE
2,1,1,18,pH,Unlined,NA,TRUE
2,1,1,18,NH4,P2.A,0.05,TRUE
2,1,1,18,NH4,P2.B,0.05,TRUE
2,1,1,18,NH4,P2.C,0.05,TRUE
2,1,1,18,NH4,P1.D,NA,TRUE
2,1,1,18,NH4,P1.E,NA,TRUE
2,1,1,18,NH4,P1.F,NA,TRUE
2,1,1,18,NH4,M,NA,TRUE
2,1,1,18,NH4,Lined,0.05,TRUE
2,1,1,18,NH4,Unlined,NA,TRUE
2,1,1,18,NO3,P2.A,14.3,TRUE
2,1,1,18,NO3,P2.B,14.3,TRUE
2,1,1,18,NO3,P2.C,14.3,TRUE
2,1,1,18,NO3,P1.D,NA,TRUE
2,1,1,18,NO3,P1.E,NA,TRUE
2,1,1,18,NO3,P1.F,NA,TRUE
2,1,1,18,NO3,M,NA,TRUE
2,1,1,18,NO3,Lined,14.3,TRUE
2,1,1,18,NO3,Unlined,NA,TRUE
2,1,1,18,EC,P2.A,258,TRUE
2,1,1,18,EC,P2.B,258,TRUE
2,1,1,18,EC,P2.C,258,TRUE
2,1,1,18,EC,P1.D,NA,TRUE
2,1,1,18,EC,P1.E,NA,TRUE
2,1,1,18,EC,P1.F,NA,TRUE
2,1,1,18,EC,M,NA,TRUE
2,1,1,18,EC,Lined,258,TRUE
2,1,1,18,EC,Unlined,NA,TRUE
2,1,1,18,P,P2.A,0.59,TRUE
2,1,1,18,P,P2.B,0.59,TRUE
2,1,1,18,P,P2.C,0.59,TRUE
2,1,1,18,P,P1.D,NA,TRUE
2,1,1,18,P,P1.E,NA,TRUE
2,1,1,18,P,P1.F,NA,TRUE
2,1,1,18,P,M,NA,TRUE
2,1,1,18,P,Lined,0.59,TRUE
2,1,1,18,P,Unlined,NA,TRUE
2,1,1,18,TC,P2.A,0,TRUE
2,1,1,18,TC,P2.B,0,TRUE
2,1,1,18,TC,P2.C,0,TRUE
2,1,1,18,TC,P1.D,NA,TRUE
2,1,1,18,TC,P1.E,NA,TRUE
2,1,1,18,TC,P1.F,NA,TRUE
2,1,1,18,TC,M,NA,TRUE
2,1,1,18,TC,Lined,0,TRUE
2,1,1,18,TC,Unlined,NA,TRUE
2,1,5,18,pH,P2.A,7.91,TRUE
2,1,5,18,pH,P2.B,7.91,TRUE
2,1,5,18,pH,P2.C,7.91,TRUE
2,1,5,18,pH,P1.D,NA,TRUE
2,1,5,18,pH,P1.E,NA,TRUE
2,1,5,18,pH,P1.F,NA,TRUE
2,1,5,18,pH,M,NA,TRUE
2,1,5,18,pH,Lined,7.91,TRUE
2,1,5,18,pH,Unlined,NA,TRUE
2,1,5,18,NH4,P2.A,0.04,TRUE
2,1,5,18,NH4,P2.B,0.04,TRUE
2,1,5,18,NH4,P2.C,0.04,TRUE
2,1,5,18,NH4,P1.D,NA,TRUE
2,1,5,18,NH4,P1.E,NA,TRUE
2,1,5,18,NH4,P1.F,NA,TRUE
2,1,5,18,NH4,M,NA,TRUE
2,1,5,18,NH4,Lined,0.04,TRUE
2,1,5,18,NH4,Unlined,NA,TRUE
2,1,5,18,NO3,P2.A,17.8,TRUE
2,1,5,18,NO3,P2.B,17.8,TRUE
2,1,5,18,NO3,P2.C,17.8,TRUE
2,1,5,18,NO3,P1.D,NA,TRUE
2,1,5,18,NO3,P1.E,NA,TRUE
2,1,5,18,NO3,P1.F,NA,TRUE
2,1,5,18,NO3,M,NA,TRUE
2,1,5,18,NO3,Lined,17.8,TRUE
